the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.9650858092593 -37.81968991950801),792,Promotional Spaces:  Southbank Pedestrian Bridge,Promotional Spaces,Southbank Pedestrian Bridge,,Y,N,,N,N,,,N,N,N,"598,987","22,568","111,240",22.26558689,247
POINT (144.9427921184255 -37.78398401734769),262,Royal Park:  RP - Ross Straw Field 1 Nth_Ct,Royal Park,RP - Ross Straw Field 1 Nth_Ct,,Y,N,,N,N,L,Y,Y,N,N,"107,426",0,0,0,0
POINT (144.9673606957155 -37.828688522604),380,Other Park Locations:  Miles & Dodds St Reserve,Other Park Locations,Miles & Dodds St Reserve,,Y,Y,,N,N,L,,N,N,N,"111,526",0,"111,526",1.87644942,161
POINT (144.9612333391193 -37.78788013831968),211,Princes Park:  PP -  S2,Princes Park,PP -  S2,,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.98172146083033 -37.84314053115123),428,Fawkner Park:  FP - Southern Pavilion Social Area,Fawkner Park,FP - Southern Pavilion Social Area,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,"587,544",3.76647007,242
POINT (144.94461367085572 -37.82189961767696),"1,617",Docklands:  All Other Spaces:  Collins Landing,Docklands,All Other Spaces,Collins Landing,Y,Y,,N,N,,,N,N,N,"624,154","23,301","624,154",39.12898723,47
POINT (144.94213123612462 -37.823381504683944),"1,222",Docklands:  Parks:  Point Park,Docklands,Parks,Point Park,Y,Y,,N,N,L,N,N,N,N,"611,697",0,"642,867",37.11110181,217
POINT (144.97348681194194 -37.81907379935277),410,Birrarung Marr:  BM - Lower Terrace,Birrarung Marr,BM - Lower Terrace,,Y,Y,,N,N,H,,N,N,N,"573,368",0,0,0,0
POINT (144.95321923431288 -37.80977855324393),148,Flagstaff Gardens:  FG - Lawn 1,Flagstaff Gardens,FG - Lawn 1,,Y,Y,,Y,N,M,,N,N,N,"102,942",0,"105,328",64.79969374,184
POINT (144.96425597799097 -37.820379916209816),823,Promotional Spaces:  Southbank Spillway,Promotional Spaces,Southbank Spillway,,Y,Y,,N,N,,,N,N,N,"111,302",0,"596,447",81.022573,360
POINT (144.9549599190524 -37.78651883720741),285,Royal Park:  RP - Lawn 6_Brens Pavillion,Royal Park,RP - Lawn 6_Brens Pavillion,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,"587,540",2.43705273,87
POINT (144.9612333391193 -37.78788013831968),207,Princes Park:  PP - Ct2,Princes Park,PP - Ct2,,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.97821259791684 -37.83786569290351),48,Fawkner Park:  FP - Lawn 2,Fawkner Park,FP - Lawn 2,,Y,Y,,Y,N,M,N,N,N,N,"103,756",0,"578,355",75.91984284,79
POINT (144.95666911563225 -37.8218387826011),42,Batman Park:  BP - Lawn1,Batman Park,BP - Lawn1,,Y,Y,,Y,N,H,,N,N,N,"611,396",0,"625,420",58.90826433,61
